_id,School Name,Enrolled population,DTP* coverage rate (%),DTP Religious exemption rate (%),MMR† coverage rate (%),MMR Religious exemption rate (%)
388,KNOB HILL PUBLIC SCHOOL ,314.0,84.4,0.0,86.3,0.0
389,LAKESHORE COLLEGIATE INSTITUTE ,640.0,82.7,2.8,93.3,2.8
390,LAMBERTON PUBLIC SCHOOL ,137.0,79.6,0.0,86.1,0.0
391,LAMBTON KINGSWAY JUNIOR MIDDLE SCHOOL ,401.0,93.8,3.7,95.3,3.2
392,LAMBTON PARK COMMUNITY SCHOOL ,56.0,82.1,0.0,85.7,0.0
393,L'AMOREAUX COLLEGIATE INSTITUTE ,495.0,83.0,1.6,89.7,1.6
394,LANOR JUNIOR MIDDLE SCHOOL ,199.0,91.0,4.0,92.5,4.0
395,LAWRENCE HEIGHTS MIDDLE SCHOOL ,148.0,93.9,2.0,93.9,2.0
396,LAWRENCE PARK COLLEGIATE INSTITUTE ,1192.0,89.0,2.4,96.8,2.3
397,LEASIDE HIGH SCHOOL ,969.0,89.5,1.8,97.6,1.8
398,LEDBURY PARK ELEMENTARY AND MIDDLE SCHOOL ,339.0,90.0,1.2,92.0,1.2
399,LESCON PUBLIC SCHOOL ,84.0,89.3,2.4,90.5,2.4
400,LESLIEVILLE JUNIOR PUBLIC SCHOOL ,182.0,89.6,1.1,93.4,1.1
401,LESTER B PEARSON COLLEGIATE INSTITUTE ,1334.0,90.2,0.9,97.5,0.9
402,LESTER B PEARSON ELEMENTARY SCHOOL ,324.0,95.1,2.5,97.2,2.5
403,LILLIAN PUBLIC SCHOOL ,99.0,98.0,0.0,97.0,0.0
404,LORD DUFFERIN JUNIOR AND SENIOR PUBLIC SCHOOL ,275.0,90.5,0.4,92.4,0.4
405,LORD LANSDOWNE JUNIOR PUBLIC SCHOOL ,128.0,93.8,3.9,94.5,3.9
406,LORD ROBERTS JUNIOR PUBLIC SCHOOL ,205.0,88.8,0.5,91.2,0.5
407,LORETTO ABBEY CATHOLIC SECONDARY SCHOOL ,938.0,89.3,1.7,96.9,1.6
408,LORETTO COLLEGE SCHOOL ,444.0,91.2,0.5,97.7,0.5
409,LUCY MAUD MONTGOMERY PUBLIC SCHOOL ,124.0,98.4,0.0,99.2,0.0
410,LUCY MCCORMICK SENIOR SCHOOL ,57.0,33.3,5.3,80.7,5.3
411,LYNNGATE JUNIOR PUBLIC SCHOOL ,86.0,96.5,3.5,95.3,3.5
412,LYNNWOOD HEIGHTS JUNIOR PUBLIC SCHOOL ,82.0,93.9,2.4,89.0,2.4
413,MACKLIN PUBLIC SCHOOL ,279.0,91.8,0.4,92.1,0.4
414,MADONNA CATHOLIC SECONDARY SCHOOL ,676.0,87.9,0.1,93.0,0.1
415,MALVERN COLLEGIATE INSTITUTE ,1114.0,88.4,3.2,96.1,3.2
416,MALVERN JUNIOR PUBLIC SCHOOL ,197.0,87.8,1.0,92.4,1.0
417,MANHATTAN PARK JUNIOR PUBLIC SCHOOL ,47.0,93.6,4.3,93.6,4.3
418,MAPLE LEAF PUBLIC SCHOOL ,140.0,86.4,5.0,89.3,5.0
419,MAPLEWOOD HIGH SCHOOL ,112.0,88.4,4.5,95.5,3.6
420,MARC GARNEAU COLLEGIATE INSTITUTE ,1701.0,85.7,0.6,93.2,0.6
421,MARKET LANE JUNIOR AND SENIOR PUBLIC SCHOOL ,170.0,90.6,1.8,90.0,1.8
422,MARSHALL MCLUHAN CATHOLIC SECONDARY SCHOOL ,1087.0,90.6,0.6,96.5,0.6
423,MARTINGROVE COLLEGIATE INSTITUTE ,1111.0,89.9,0.9,96.2,0.9
424,MARY SHADD PUBLIC SCHOOL ,262.0,91.2,0.4,93.9,0.4
425,MARY WARD CATHOLIC SECONDARY SCHOOL ,1041.0,90.8,1.2,96.3,1.2
426,MARYVALE PUBLIC SCHOOL ,156.0,87.2,2.6,92.3,1.9
427,MASON ROAD JUNIOR PUBLIC SCHOOL ,175.0,86.9,0.6,89.7,0.6
428,MAURICE CODY JUNIOR PUBLIC SCHOOL ,268.0,94.8,1.5,96.6,1.5
429,MCKEE PUBLIC SCHOOL ,308.0,93.5,0.3,92.2,0.3
430,MCMURRICH JUNIOR PUBLIC SCHOOL ,288.0,89.6,4.2,90.3,4.2
431,MEADOWVALE PUBLIC SCHOOL ,152.0,91.4,2.0,92.8,2.0
432,MELODY VILLAGE JUNIOR SCHOOL ,88.0,97.7,0.0,96.6,0.0
433,MICHAEL POWER/ST JOSEPH HIGH SCHOOL ,1887.0,88.1,2.0,94.8,2.0
434,MILITARY TRAIL PUBLIC SCHOOL ,282.0,75.9,0.7,85.5,0.7
435,MILL VALLEY JUNIOR SCHOOL ,60.0,90.0,10.0,90.0,10.0
436,MILLIKEN PUBLIC SCHOOL ,159.0,95.6,1.3,95.0,1.3
437,MILLWOOD JUNIOR SCHOOL ,185.0,96.8,1.1,96.8,1.1
438,MILNE VALLEY MIDDLE SCHOOL ,580.0,92.6,1.6,93.3,1.6
439,MONARCH PARK COLLEGIATE INSTITUTE ,829.0,88.4,2.3,95.9,2.3
440,MONSIGNOR FRASER COLLEGE (MIDLAND NORTH) ,99.0,83.8,0.0,98.0,0.0
441,MONSIGNOR FRASER COLLEGE (MIDTOWN) ,73.0,89.0,0.0,98.6,0.0
442,MONSIGNOR FRASER COLLEGE (NORTHEAST) ,34.0,85.3,0.0,97.1,0.0
443,MONSIGNOR FRASER COLLEGE (SOUTHWEST) ,44.0,75.0,0.0,93.2,0.0
444,MONSIGNOR FRASER COLLEGE (ST. MARTIN) ,15.0,26.7,0.0,93.3,0.0
445,MONSIGNOR PERCY JOHNSON CATHOLIC HIGH SCHOOL ,964.0,86.7,0.9,94.7,0.9
446,MONTROSE JUNIOR PUBLIC SCHOOL ,84.0,97.6,1.2,98.8,1.2
447,MORRISH PUBLIC SCHOOL ,202.0,92.6,0.5,95.0,0.5
448,MORSE STREET JUNIOR PUBLIC SCHOOL ,251.0,90.4,2.4,92.8,2.4
449,MOTHER CABRINI CATHOLIC SCHOOL ,111.0,94.6,1.8,94.6,1.8
450,MOUNTVIEW ALTERNATIVE SCHOOL JUNIOR ,51.0,92.2,5.9,92.2,5.9
451,MSGR FRASER COLLEGE (ALTERNATE STUDY) SECONDARY SCHOOL ,170.0,80.0,1.2,98.2,1.2
452,MSGR FRASER COLLEGE (NORFINCH CAMPUS) ,114.0,71.9,0.0,87.7,0.0
453,MSGR FRASER-ISABELLA ,56.0,57.1,0.0,89.3,0.0
454,MSGR FRASER-MIDLAND ,72.0,72.2,0.0,87.5,0.0
455,MSGR JOHN CORRIGAN CATHOLIC SCHOOL ,144.0,92.4,0.7,92.4,0.7
456,MUIRHEAD PUBLIC SCHOOL ,109.0,79.8,1.8,75.2,1.8
457,NATIVE LEARNING CENTRE ,20.0,65.0,5.0,80.0,5.0
458,NATIVITY OF OUR LORD CATHOLIC SCHOOL ,277.0,90.3,2.9,90.3,2.9
459,NEIL MCNEIL HIGH SCHOOL ,840.0,89.5,1.9,97.0,1.7
460,NELSON MANDELA PARK PUBLIC SCHOOL ,195.0,92.3,1.5,92.8,1.5
461,NEWTONBROOK SECONDARY SCHOOL ,857.0,80.4,1.8,86.3,1.8
462,NIAGARA STREET JUNIOR PUBLIC SCHOOL ,97.0,90.7,2.1,92.8,2.1
463,NORMAN COOK JUNIOR PUBLIC SCHOOL ,65.0,96.9,1.5,98.5,1.5
464,NORMAN INGRAM PUBLIC SCHOOL ,85.0,94.1,3.5,96.5,3.5
465,NORSEMAN JUNIOR MIDDLE SCHOOL ,496.0,97.0,1.4,97.2,1.4
466,NORTH AGINCOURT JUNIOR PUBLIC SCHOOL ,225.0,92.4,0.9,95.1,0.9
467,NORTH ALBION COLLEGIATE INSTITUTE ,790.0,88.4,0.1,97.1,0.0
468,NORTH BENDALE JUNIOR PUBLIC SCHOOL ,64.0,90.6,3.1,95.3,3.1
469,NORTH BRIDLEWOOD JUNIOR PUBLIC SCHOOL ,107.0,95.3,1.9,94.4,1.9
470,NORTH EAST YEAR ROUND ALTERNATIVE CENTRE ,44.0,81.8,2.3,95.5,2.3
471,NORTH KIPLING JUNIOR MIDDLE SCHOOL ,417.0,86.1,0.7,88.7,0.7
472,NORTH TORONTO COLLEGIATE INSTITUTE ,1312.0,89.3,1.4,96.5,1.4
473,NORTH WEST YEAR ROUND ALTERNATIVE CENTRE ,29.0,82.8,0.0,96.6,0.0
474,NORTHERN SECONDARY SCHOOL ,1697.0,87.8,3.5,95.2,3.4
475,NORTHLEA ELEMENTARY AND MIDDLE SCHOOL ,469.0,94.7,1.9,94.7,1.9
476,NORTHVIEW HEIGHTS SECONDARY SCHOOL ,1598.0,86.9,1.1,92.2,1.0
477,NORWAY JUNIOR PUBLIC SCHOOL ,142.0,89.4,4.2,95.1,4.2
478,NOTRE DAME CATHOLIC HIGH SCHOOL ,665.0,89.0,0.5,97.3,0.5
479,OAKDALE PARK MIDDLE SCHOOL ,419.0,87.6,0.7,91.9,0.7
480,OAKRIDGE JUNIOR PUBLIC SCHOOL ,172.0,92.4,0.6,94.8,0.6
481,OAKWOOD COLLEGIATE INSTITUTE ,399.0,86.7,3.3,94.5,3.3
482,OASIS ALTERNATIVE ,97.0,78.4,8.2,88.7,8.2
483,O'CONNOR PUBLIC SCHOOL ,55.0,92.7,0.0,94.5,0.0
484,OGDEN JUNIOR PUBLIC SCHOOL ,87.0,95.4,1.1,95.4,1.1
485,ORDE STREET JUNIOR PUBLIC SCHOOL ,211.0,82.5,0.9,83.4,0.9
486,ORIOLE PARK JUNIOR PUBLIC SCHOOL ,114.0,96.5,2.6,95.6,2.6
487,OSSINGTON/OLD ORCHARD JUNIOR PUBLIC SCHOOL ,148.0,88.5,4.1,91.2,4.1
488,OUR LADY OF FATIMA CATHOLIC SCHOOL ,477.0,91.6,1.7,92.2,1.7
489,OUR LADY OF GRACE CATHOLIC SCHOOL ,176.0,92.0,0.6,96.0,0.6
490,OUR LADY OF GUADALUPE CATHOLIC SCHOOL ,99.0,87.9,1.0,83.8,1.0
491,OUR LADY OF LOURDES CATHOLIC SCHOOL ,334.0,93.4,0.0,93.4,0.0
492,OUR LADY OF PEACE CATHOLIC SCHOOL ,399.0,93.5,3.5,95.0,3.5
493,OUR LADY OF PERPETUAL HELP CATHOLIC SCHOOL ,197.0,97.5,0.5,95.9,0.5
494,OUR LADY OF SORROWS CATHOLIC SCHOOL ,515.0,95.5,2.3,95.9,2.3
495,OUR LADY OF THE ASSUMPTION CATHOLIC SCHOOL ,240.0,84.6,1.3,78.8,1.3
496,OUR LADY OF VICTORY CATHOLIC SCHOOL ,419.0,91.6,0.2,92.4,0.2
497,OUR LADY OF WISDOM CATHOLIC SCHOOL ,205.0,95.1,3.4,93.7,3.4
498,OWEN PUBLIC SCHOOL ,250.0,91.2,1.6,93.6,1.6
499,PALMERSTON AVENUE JUNIOR PUBLIC SCHOOL ,212.0,92.0,4.7,91.0,4.7
500,PAPE AVENUE JUNIOR PUBLIC SCHOOL ,178.0,96.6,2.2,97.2,2.2
501,PARK LAWN JUNIOR AND MIDDLE SCHOOL ,328.0,89.0,2.7,91.5,2.7
502,PARKDALE COLLEGIATE INSTITUTE ,504.0,87.1,2.2,94.6,2.2
503,PARKDALE JUNIOR AND SENIOR PUBLIC SCHOOL ,286.0,84.6,3.1,85.7,3.1
504,PARKFIELD JUNIOR SCHOOL ,110.0,90.0,2.7,92.7,1.8
505,PARKSIDE ELEMENTARY SCHOOL ,69.0,94.2,0.0,95.7,0.0
506,PARKVIEW ALTERNATIVE SCHOOL ,72.0,84.7,2.8,97.2,2.8
507,PAULINE JOHNSON JUNIOR PUBLIC SCHOOL ,119.0,90.8,0.0,95.0,0.0
508,PAULINE JUNIOR PUBLIC SCHOOL ,134.0,87.3,3.7,87.3,3.7
509,PELMO PARK PUBLIC SCHOOL ,121.0,82.6,2.5,86.0,2.5
510,PERCY WILLIAMS JUNIOR PUBLIC SCHOOL ,158.0,86.7,0.0,92.4,0.0
511,PERTH AVENUE JUNIOR PUBLIC SCHOOL ,134.0,85.8,4.5,87.3,4.5
512,PIERRE LAPORTE MIDDLE SCHOOL ,404.0,86.6,0.5,88.4,0.5
513,PINEWAY PUBLIC SCHOOL ,51.0,96.1,0.0,96.1,0.0
514,PLEASANT PUBLIC SCHOOL ,249.0,89.6,2.4,90.8,2.4
515,PLEASANT VIEW MIDDLE SCHOOL ,334.0,82.3,1.2,82.6,1.2
516,POPE FRANCIS CATHOLIC SCHOOL ,161.0,92.5,0.6,93.8,0.6
517,POPLAR ROAD JUNIOR PUBLIC SCHOOL ,138.0,97.1,1.4,98.6,1.4
518,PORT ROYAL PUBLIC SCHOOL ,205.0,93.2,1.0,91.7,1.0
519,PORTAGE TRAIL COMMUNITY JUNIOR SCHOOL ,443.0,85.3,2.5,89.6,2.5
520,PRECIOUS BLOOD CATHOLIC SCHOOL ,298.0,89.6,1.0,89.9,1.0
521,PRESTEIGN HEIGHTS ELEMENTARY SCHOOL ,101.0,94.1,4.0,93.1,4.0
522,PRINCE OF PEACE CATHOLIC SCHOOL ,201.0,95.5,1.0,94.5,1.0
523,PRINCESS MARGARET JUNIOR SCHOOL ,169.0,91.7,1.8,95.3,1.8
524,QUEEN ALEXANDRA MIDDLE SCHOOL ,345.0,93.9,2.9,93.6,2.9
525,QUEEN VICTORIA JUNIOR PUBLIC SCHOOL ,519.0,93.1,2.5,93.6,2.5
526,QUEST ALTERNATIVE SCHOOL SENIOR ,66.0,87.9,7.6,90.9,7.6
527,R H KING ACADEMY ,1264.0,88.9,0.7,97.5,0.6
528,R H MCGREGOR ELEMENTARY SCHOOL ,307.0,94.8,1.6,94.1,1.6
529,R J LANG ELEMENTARY AND MIDDLE SCHOOL ,278.0,86.3,1.1,88.5,1.1
530,RANCHDALE PUBLIC SCHOOL ,89.0,97.8,0.0,97.8,0.0
531,RAWLINSON COMMUNITY SCHOOL ,427.0,93.7,2.3,94.4,2.3
532,REGAL ROAD JUNIOR PUBLIC SCHOOL ,277.0,93.1,2.2,94.9,2.2
533,REGENT HEIGHTS PUBLIC SCHOOL ,318.0,90.3,0.6,92.5,0.6
534,REGINA MUNDI CATHOLIC SCHOOL ,237.0,94.9,1.3,95.8,1.3
535,RENE GORDON HEALTH AND WELLNESS ACADEMY ,132.0,95.5,1.5,94.7,1.5
536,RICHVIEW COLLEGIATE INSTITUTE ,1047.0,88.3,2.9,96.8,2.9
537,RIPPLETON PUBLIC SCHOOL ,122.0,95.9,1.6,95.9,1.6
538,RIVERCREST JUNIOR SCHOOL ,80.0,93.8,3.8,93.8,3.8
539,RIVERDALE COLLEGIATE INSTITUTE ,1206.0,89.6,3.2,95.9,3.2
540,ROBERT SERVICE SENIOR PUBLIC SCHOOL ,169.0,94.7,0.0,98.8,0.0
541,ROCKCLIFFE MIDDLE SCHOOL ,303.0,91.1,2.3,91.1,2.3
542,ROCKFORD PUBLIC SCHOOL ,336.0,78.6,1.5,80.7,1.5
543,RODEN PUBLIC SCHOOL ,233.0,86.3,2.6,89.3,2.6
544,ROLPH ROAD ELEMENTARY SCHOOL ,190.0,97.9,1.1,96.3,1.1
545,ROSE AVENUE JUNIOR PUBLIC SCHOOL ,303.0,87.8,0.0,88.4,0.0
546,ROSEDALE HEIGHTS SCHOOL OF THE ARTS ,1062.0,83.1,8.4,89.3,8.4
547,ROSEDALE JUNIOR PUBLIC SCHOOL ,119.0,98.3,0.0,99.2,0.0
548,ROSELANDS JUNIOR PUBLIC SCHOOL ,166.0,86.7,1.8,90.4,1.8
549,ROSETHORN JUNIOR SCHOOL ,183.0,94.0,5.5,94.0,5.5
550,ROUGE VALLEY PUBLIC SCHOOL ,146.0,97.3,0.0,98.6,0.0
551,ROYWOOD PUBLIC SCHOOL ,84.0,95.2,1.2,95.2,1.2
552,RUNNYMEDE COLLEGIATE INSTITUTE ,545.0,88.6,1.7,96.5,1.7
553,RUNNYMEDE JUNIOR AND SENIOR PUBLIC SCHOOL ,601.0,96.7,1.2,97.3,1.3
554,RYERSON COMMUNITY SCHOOL ,278.0,72.3,1.4,74.5,1.4
555,SACRED HEART CATHOLIC SCHOOL ,170.0,92.9,1.2,93.5,1.2
556,SAMUEL HEARNE PUBLIC SCHOOL ,376.0,86.4,0.5,90.2,0.5
557,SANTA MARIA CATHOLIC SCHOOL ,137.0,93.4,0.0,94.2,0.0
558,SATEC @ W A PORTER COLLEGIATE INSTITUTE ,1199.0,89.3,0.3,95.7,0.3
559,SCARBOROUGH VILLAGE PUBLIC SCHOOL ,121.0,90.1,0.0,93.4,0.0
560,SCHOOL OF EXPERIENTIAL EDUCATION ,72.0,76.4,1.4,97.2,1.4
561,SCHOOL OF LIFE EXPERIENCE ,120.0,85.8,0.8,95.0,0.8
562,SECOND STREET JUNIOR MIDDLE SCHOOL ,298.0,89.3,2.3,91.6,2.3
563,SECORD ELEMENTARY SCHOOL ,239.0,84.9,2.1,90.0,2.1
564,SEED ALTERNATIVE ,75.0,80.0,4.0,93.3,4.0
565,SELWYN ELEMENTARY SCHOOL ,128.0,95.3,3.1,96.1,3.1
566,SENATOR O'CONNOR COLLEGE SCHOOL ,1364.0,90.1,1.4,95.3,1.4
567,SENECA HILL PUBLIC SCHOOL ,150.0,99.3,0.0,98.7,0.0
568,SENECA SCHOOL ,53.0,88.7,3.8,90.6,3.8
569,SEVENTH STREET JUNIOR SCHOOL ,86.0,93.0,4.7,93.0,4.7
570,SHAUGHNESSY PUBLIC SCHOOL ,126.0,98.4,0.0,98.4,0.0
571,SHEPPARD PUBLIC SCHOOL ,67.0,98.5,1.5,95.5,1.5
572,SHIRLEY STREET JUNIOR PUBLIC SCHOOL ,83.0,91.6,8.4,91.6,8.4
573,SHOREHAM PUBLIC SCHOOL ,104.0,92.3,0.0,92.3,0.0
574,SILVER SPRINGS PUBLIC SCHOOL ,221.0,95.0,0.0,94.1,0.0
575,SILVERTHORN COLLEGIATE INSTITUTE ,879.0,83.8,3.0,93.9,3.0
576,SILVERTHORN COMMUNITY SCHOOL ,201.0,87.6,3.0,90.0,3.0
577,SIR ADAM BECK JUNIOR SCHOOL ,178.0,92.7,4.5,93.8,4.5
578,SIR ALEXANDER MACKENZIE SENIOR PUBLIC SCHOOL ,398.0,93.5,1.3,95.7,1.3
579,SIR ERNEST MACMILLAN SENIOR PUBLIC SCHOOL ,374.0,93.9,1.3,94.4,1.3
580,SIR JOHN A MACDONALD COLLEGIATE INSTITUTE ,1130.0,89.3,1.4,95.2,1.2
581,SIR OLIVER MOWAT COLLEGIATE INSTITUTE ,1074.0,89.3,2.2,96.9,2.2
582,SIR SAMUEL B STEELE JUNIOR PUBLIC SCHOOL ,192.0,94.3,1.0,95.8,1.0
583,SIR WILFRID LAURIER COLLEGIATE INSTITUTE ,1348.0,88.6,1.0,96.1,1.0
584,SIR WILLIAM OSLER HIGH SCHOOL ,141.0,87.2,0.7,93.6,0.7
585,SLOANE PUBLIC SCHOOL ,96.0,94.8,0.0,96.9,0.0
586,SMITHFIELD MIDDLE SCHOOL ,637.0,93.4,0.2,94.5,0.2
587,SOUTH EAST YEAR ROUND ALTERNATIVE CENTRE ,64.0,89.1,0.0,100.0,0.0
588,SPECTRUM ALTERNATIVE SENIOR SCHOOL ,60.0,91.7,8.3,91.7,8.3
589,SPRUCECOURT JUNIOR PUBLIC SCHOOL ,168.0,91.1,1.2,95.2,1.2
590,ST AGATHA CATHOLIC SCHOOL ,244.0,96.3,0.8,97.5,0.8
591,ST AGNES CATHOLIC SCHOOL ,207.0,84.1,2.4,82.6,2.4
592,ST AIDAN CATHOLIC SCHOOL ,184.0,90.2,0.5,93.5,0.5
593,ST ALBERT CATHOLIC SCHOOL ,281.0,94.3,1.1,94.0,1.1
594,ST ALPHONSUS CATHOLIC SCHOOL ,140.0,90.0,1.4,91.4,1.4
595,ST AMBROSE CATHOLIC SCHOOL ,219.0,90.9,4.6,92.7,4.6
596,ST ANDRE CATHOLIC SCHOOL ,365.0,91.0,0.0,89.6,0.0
597,ST ANDREW CATHOLIC SCHOOL ,459.0,85.8,0.2,89.8,0.2
598,ST ANDREWS MIDDLE SCHOOL ,392.0,92.6,2.3,94.4,2.3
599,ST ANDREWS PUBLIC SCHOOL ,191.0,93.7,0.0,94.2,0.0
600,ST ANGELA CATHOLIC SCHOOL ,322.0,83.2,0.6,86.3,0.6
601,ST ANSELM CATHOLIC SCHOOL ,233.0,94.8,3.0,96.1,3.0
602,ST ANTHONY CATHOLIC SCHOOL ,207.0,88.4,2.4,91.8,2.4
603,ST ANTOINE DANIEL CATHOLIC SCHOOL ,242.0,88.8,0.4,88.8,0.4
604,ST AUGUSTINE CATHOLIC SCHOOL ,342.0,89.8,0.3,89.5,0.3
605,ST BARBARA CATHOLIC SCHOOL ,207.0,90.3,1.4,90.3,1.4
606,ST BARNABAS CATHOLIC SCHOOL ,187.0,98.4,1.1,97.9,1.1
607,ST BARTHOLOMEW CATHOLIC SCHOOL ,52.0,94.2,5.8,94.2,5.8
608,ST BEDE CATHOLIC SCHOOL ,93.0,96.8,0.0,97.8,0.0
609,ST BENEDICT CATHOLIC SCHOOL ,385.0,91.7,0.8,92.5,0.5
610,ST BERNARD CATHOLIC SCHOOL ,404.0,92.8,1.2,92.8,1.2
611,ST BONAVENTURE CATHOLIC SCHOOL ,377.0,96.0,1.1,96.0,1.1
612,ST BONIFACE CATHOLIC SCHOOL ,209.0,92.3,0.0,91.9,0.0
613,ST BRENDAN CATHOLIC SCHOOL ,354.0,97.7,0.6,98.6,0.6
614,ST BRIGID CATHOLIC SCHOOL ,355.0,92.4,2.0,93.8,2.0
615,ST BRUNO / ST RAYMOND CATHOLIC SCHOOL ,149.0,85.9,6.0,87.2,5.4
616,ST CATHERINE CATHOLIC SCHOOL ,71.0,84.5,4.2,87.3,4.2
617,ST CECILIA CATHOLIC SCHOOL ,394.0,95.9,2.0,97.2,2.0
618,ST CHARLES CATHOLIC SCHOOL ,176.0,95.5,1.1,94.3,1.1
619,ST CHARLES GARNIER CATHOLIC SCHOOL ,270.0,90.4,0.7,90.7,0.7
620,ST CLARE CATHOLIC SCHOOL ,254.0,92.1,1.6,94.5,1.6
621,ST CLEMENT CATHOLIC SCHOOL ,283.0,96.1,2.1,96.5,2.1
622,ST CLEMENT'S SCHOOL ,328.0,37.2,1.5,81.1,1.5
623,ST COLUMBA CATHOLIC SCHOOL ,134.0,90.3,3.0,92.5,3.0
624,ST CONRAD CATHOLIC SCHOOL ,349.0,94.8,0.6,93.4,0.6
625,ST CYRIL CATHOLIC SCHOOL ,178.0,96.6,1.1,96.6,1.1
626,ST DEMETRIUS CATHOLIC SCHOOL ,166.0,86.1,6.6,90.4,6.6
627,ST DENIS CATHOLIC SCHOOL ,179.0,94.4,3.9,94.4,3.9
628,ST DOMINIC SAVIO CATHOLIC SCHOOL ,159.0,93.1,1.3,94.3,1.3
629,ST DOROTHY CATHOLIC SCHOOL ,200.0,95.5,1.0,95.0,1.0
630,ST DUNSTAN CATHOLIC SCHOOL ,142.0,90.8,0.7,90.8,0.7
631,ST EDMUND CAMPION CATHOLIC SCHOOL ,156.0,98.7,0.0,96.8,0.0
632,ST EDWARD CATHOLIC SCHOOL ,285.0,94.4,1.1,93.7,1.1
633,ST ELIZABETH CATHOLIC SCHOOL ,147.0,89.1,2.0,91.2,2.0
634,ST ELIZABETH SETON CATHOLIC SCHOOL ,103.0,92.2,1.9,95.1,1.9
635,ST EUGENE CATHOLIC SCHOOL ,218.0,94.5,2.8,95.9,2.8
636,ST FIDELIS CATHOLIC SCHOOL ,376.0,95.5,2.9,95.7,2.9
637,ST FLORENCE CATHOLIC SCHOOL ,108.0,94.4,0.9,93.5,0.9
638,ST FRANCIS DE SALES CATHOLIC SCHOOL ,280.0,90.4,0.0,89.6,0.0
639,ST FRANCIS OF ASSISI CATHOLIC SCHOOL ,117.0,92.3,3.4,96.6,3.4
640,ST FRANCIS XAVIER CATHOLIC SCHOOL ,326.0,89.6,0.6,91.1,0.6
641,ST GABRIEL CATHOLIC CATHOLIC SCHOOL ,186.0,86.6,1.6,86.6,1.6
642,ST GABRIEL LALEMANT CATHOLIC SCHOOL ,97.0,95.9,2.1,96.9,2.1
643,ST GEORGE'S JUNIOR SCHOOL ,81.0,95.1,2.5,95.1,2.5
644,ST GERALD CATHOLIC SCHOOL ,180.0,86.7,1.1,87.2,1.1
645,ST GREGORY CATHOLIC SCHOOL ,458.0,95.0,3.1,94.5,3.1
646,ST HELEN CATHOLIC SCHOOL ,258.0,95.3,0.8,97.3,0.8
647,ST HENRY CATHOLIC SCHOOL ,154.0,92.9,0.6,94.2,0.6
648,ST IGNATIUS OF LOYOLA CATHOLIC SCHOOL ,76.0,94.7,3.9,92.1,3.9
649,ST ISAAC JOGUES CATHOLIC SCHOOL ,201.0,92.5,0.0,92.5,0.0
650,ST JAMES CATHOLIC SCHOOL ,113.0,94.7,0.9,95.6,0.9
651,ST JANE FRANCES CATHOLIC SCHOOL ,436.0,92.0,0.5,93.3,0.5
652,ST JEAN DE BREBEUF CATHOLIC SCHOOL ,140.0,96.4,0.7,97.9,0.7
653,ST JEROME CATHOLIC SCHOOL ,317.0,88.6,0.3,91.5,0.3
654,ST JOACHIM CATHOLIC SCHOOL ,173.0,97.1,0.0,98.3,0.0
655,ST JOHN BOSCO CATHOLIC SCHOOL ,199.0,97.5,0.0,96.5,0.0
656,ST JOHN CATHOLIC SCHOOL ,284.0,95.1,0.7,96.5,0.7
657,ST JOHN THE EVANGELIST CATHOLIC SCHOOL ,259.0,92.7,0.0,93.1,0.0
658,ST JOHN VIANNEY CATHOLIC SCHOOL ,234.0,94.0,3.0,91.9,3.0
659,ST JOSAPHAT CATHOLIC SCHOOL ,90.0,83.3,7.8,82.2,7.8
660,ST JOSEPH CATHOLIC SCHOOL ,125.0,98.4,0.8,97.6,0.8
661,ST JOSEPH'S COLLEGE SCHOOL ,771.0,90.3,0.9,95.1,0.9
662,ST JOSEPHS MORROW PARK HIGH SCHOOL ,468.0,85.9,0.6,89.5,0.6
663,ST JUDE CATHOLIC SCHOOL ,475.0,92.0,0.0,94.1,0.0
664,ST KEVIN CATHOLIC SCHOOL ,150.0,98.0,0.7,98.0,0.7
665,ST LAWRENCE CATHOLIC SCHOOL ,288.0,94.1,0.7,93.8,0.7
666,ST LEO CATHOLIC SCHOOL ,168.0,93.5,1.8,94.0,1.8
667,ST LOUIS CATHOLIC SCHOOL ,118.0,96.6,1.7,96.6,1.7
668,ST LUIGI CATHOLIC SCHOOL ,79.0,93.7,0.0,92.4,0.0
669,ST MALACHY CATHOLIC SCHOOL ,184.0,94.0,1.1,95.1,1.1
670,ST MARCELLUS CATHOLIC SCHOOL ,242.0,86.8,1.7,88.0,1.7
671,ST MARGARET CATHOLIC SCHOOL ,416.0,91.8,0.5,88.5,0.5
672,ST MARGARET'S PUBLIC SCHOOL ,171.0,86.5,1.8,90.6,1.8
673,ST MARGUERITE BOURGEOYS CATHOLIC CATHOLIC SCHOOL ,58.0,96.6,0.0,98.3,0.0
674,ST MARIA GORETTI CATHOLIC SCHOOL ,637.0,93.9,0.2,93.9,0.2
675,ST MARK CATHOLIC SCHOOL ,120.0,90.8,6.7,89.2,6.7
676,ST MARTHA CATHOLIC SCHOOL ,135.0,91.9,2.2,93.3,2.2
677,ST MARTIN DE PORRES CATHOLIC SCHOOL ,257.0,89.1,0.0,91.4,0.0
678,ST MARY CATHOLIC SCHOOL ,187.0,92.5,1.6,93.6,1.6
679,ST MARY OF THE ANGELS CATHOLIC SCHOOL ,150.0,97.3,0.0,96.0,0.0
680,ST MARY'S CATHOLIC SECONDARY SCHOOL ,690.0,83.5,1.3,89.4,1.3
