id,School_name,,Enrolled_pop,DTP_coverage_rate,DTP_religious_exemption_rate,MMR_coverage_rate,MMR_religious_exemption_rate
647,ST HENRY CATHOLIC SCHOOL ,,154,92.9,0.6,94.2,0.6
662,ST JOSEPHS MORROW PARK HIGH SCHOOL ,,468,85.9,0.6,89.5,0.6
703,ST SIMON CATHOLIC SCHOOL ,,319,94,0.6,95,0.6
706,ST TERESA CATHOLIC SCHOOL ,,170,88.8,0.6,91.8,0.6
711,ST URSULA CATHOLIC SCHOOL ,,158,95.6,0.6,94.3,0.6
716,ST. JOHN PAUL II CATHOLIC SECONDARY SCHOOL ,,1311,90.5,0.6,97.6,0.6
721,STEELESVIEW PUBLIC SCHOOL ,,173,98.8,0.6,98.8,0.6
732,TAM O'SHANTER JUNIOR PUBLIC SCHOOL ,,161,90.1,0.6,90.7,0.6
60,BLESSED MARGHERITA OF CITTA CASTELLO CATHOLIC SCHOOL ,,209,98.1,0.5,98.6,0.5
76,BRIMWOOD BOULEVARD JUNIOR PUBLIC SCHOOL ,,186,91.4,0.5,96.2,0.5
83,BROOKVIEW MIDDLE SCHOOL ,,423,90.8,0.5,93.9,0.5
96,CARDINAL LEGER CATHOLIC SCHOOL ,,193,96.9,0.5,97.9,0.5
309,HERITAGE PARK PUBLIC SCHOOL ,,190,93.7,0.5,93.7,0.5
312,HIGHCASTLE PUBLIC SCHOOL ,,198,89.4,0.5,92.4,0.5
363,JOHN D PARKER JUNIOR SCHOOL ,,193,91.2,0.5,92.2,0.5
406,LORD ROBERTS JUNIOR PUBLIC SCHOOL ,,205,88.8,0.5,91.2,0.5
408,LORETTO COLLEGE SCHOOL ,,444,91.2,0.5,97.7,0.5
447,MORRISH PUBLIC SCHOOL ,,202,92.6,0.5,95,0.5
478,NOTRE DAME CATHOLIC HIGH SCHOOL ,,665,89,0.5,97.3,0.5
493,OUR LADY OF PERPETUAL HELP CATHOLIC SCHOOL ,,197,97.5,0.5,95.9,0.5
512,PIERRE LAPORTE MIDDLE SCHOOL ,,404,86.6,0.5,88.4,0.5
556,SAMUEL HEARNE PUBLIC SCHOOL ,,376,86.4,0.5,90.2,0.5
592,ST AIDAN CATHOLIC SCHOOL ,,184,90.2,0.5,93.5,0.5
609,ST BENEDICT CATHOLIC SCHOOL ,,385,91.7,0.8,92.5,0.5
651,ST JANE FRANCES CATHOLIC SCHOOL ,,436,92,0.5,93.3,0.5
671,ST MARGARET CATHOLIC SCHOOL ,,416,91.8,0.5,88.5,0.5
689,ST NICHOLAS OF BARI CATHOLIC SCHOOL ,,393,96.9,0.5,97.5,0.5
699,ST ROBERT CATHOLIC SCHOOL ,,381,94.5,0.5,92.1,0.5
712,ST VICTOR CATHOLIC SCHOOL ,,203,95.1,0.5,95.1,0.5
714,ST WILFRID CATHOLIC SCHOOL ,,411,84.9,0.5,85.9,0.5
778,WESTVIEW CENTENNIAL SECONDARY SCHOOL ,,821,79.4,0.5,90.7,0.5
35,BAYVIEW MIDDLE SCHOOL ,,453,90.3,0.4,90.3,0.4
279,GEORGES VANIER SECONDARY SCHOOL ,,850,77.1,0.4,81.8,0.4
337,HUMBERWOOD DOWNS JUNIOR MIDDLE ACADEMY ,,469,97,0.4,97.2,0.4
355,JAMES CARDINAL MCGUIGAN CATHOLIC HIGH SCHOOL ,,851,83.2,0.4,89,0.4
356,JAMES CULNAN CATHOLIC SCHOOL ,,275,96.4,0.4,97.5,0.4
404,LORD DUFFERIN JUNIOR AND SENIOR PUBLIC SCHOOL ,,275,90.5,0.4,92.4,0.4
413,MACKLIN PUBLIC SCHOOL ,,279,91.8,0.4,92.1,0.4
424,MARY SHADD PUBLIC SCHOOL ,,262,91.2,0.4,93.9,0.4
603,ST ANTOINE DANIEL CATHOLIC SCHOOL ,,242,88.8,0.4,88.8,0.4
704,ST STEPHEN CATHOLIC SCHOOL ,,270,91.9,0.4,93.7,0.4
717,ST. JOHN XXIII CATHOLIC SCHOOL ,,264,86,0.4,84.5,0.4
722,STELLA MARIS CATHOLIC SCHOOL ,,224,96,0.4,96.4,0.4
734,TECUMSEH SENIOR PUBLIC SCHOOL ,,263,89.4,0.4,93.5,0.4
755,VALLEY PARK MIDDLE SCHOOL ,,983,77.5,0.4,81,0.4
8,ALBERT CAMPBELL COLLEGIATE INSTITUTE ,,1154,89.2,0.3,95,0.3
37,BEAUMONDE HEIGHTS JUNIOR MIDDLE SCHOOL ,,378,92.6,0.3,93.4,0.3
58,BLESSED ARCHBISHOP ROMERO CATHOLIC SECONDARY SCHOOL ,,698,89.1,0.3,95.1,0.3
166,DIXON GROVE JUNIOR MIDDLE SCHOOL ,,576,89.6,0.3,91.3,0.3
179,DR NORMAN BETHUNE COLLEGIATE INSTITUTE ,,969,91,0.3,97.3,0.3
222,ELIA MIDDLE SCHOOL ,,297,89.9,0.3,93.3,0.3
260,FOREST MANOR PUBLIC SCHOOL ,,302,86.4,0.3,87.7,0.3
304,HAVERGAL JUNIOR SCHOOL,,288,80.9,0.3,92,0.3
308,HENRY KELSEY SENIOR PUBLIC SCHOOL ,,298,96.6,0.3,96.6,0.3
313,HIGHFIELD JUNIOR SCHOOL ,,290,95.9,0.3,96.6,0.3
359,JEAN VANIER CATHOLIC SECONDARY SCHOOL ,,860,88.7,0.5,92.4,0.3
429,MCKEE PUBLIC SCHOOL ,,308,93.5,0.3,92.2,0.3
558,SATEC @ W A PORTER COLLEGIATE INSTITUTE ,,1199,89.3,0.3,95.7,0.3
604,ST AUGUSTINE CATHOLIC SCHOOL ,,342,89.8,0.3,89.5,0.3
653,ST JEROME CATHOLIC SCHOOL ,,317,88.6,0.3,91.5,0.3
681,ST MATTHEW CATHOLIC SCHOOL ,,338,97,0.3,97.3,0.3
771,WEST HUMBER JUNIOR MIDDLE SCHOOL ,,308,96.8,0.3,95.1,0.3
82,BROOKSIDE PUBLIC SCHOOL ,,456,96.9,0.2,98,0.2
145,CUMMER VALLEY MIDDLE SCHOOL ,,425,92.9,0.2,92,0.2
387,KIPLING COLLEGIATE INSTITUTE ,,449,80.6,0.2,89.1,0.2
496,OUR LADY OF VICTORY CATHOLIC SCHOOL ,,419,91.6,0.2,92.4,0.2
586,SMITHFIELD MIDDLE SCHOOL ,,637,93.4,0.2,94.5,0.2
597,ST ANDREW CATHOLIC SCHOOL ,,459,85.8,0.2,89.8,0.2
674,ST MARIA GORETTI CATHOLIC SCHOOL ,,637,93.9,0.2,93.9,0.2
691,ST PASCHAL BAYLON CATHOLIC SCHOOL ,,450,89.6,0.2,86.2,0.2
745,THORNCLIFFE PARK PUBLIC SCHOOL ,,829,85.3,0.2,89.1,0.2
800,WOBURN COLLEGIATE INSTITUTE ,,900,90.9,0.2,97.9,0.2
414,MADONNA CATHOLIC SECONDARY SCHOOL ,,676,87.9,0.1,93,0.1
6,AGINCOURT JUNIOR PUBLIC SCHOOL ,,109,98.2,0,98.2,0
7,AGNES MACPHAIL PUBLIC SCHOOL ,,180,95.6,0,97.8,0
17,ALTERNATIVE SCARBOROUGH EDUCATION 1 ,,70,87.1,1.4,97.1,0
20,ANCASTER PUBLIC SCHOOL ,,48,97.9,0,95.8,0
24,ANSON S TAYLOR JUNIOR PUBLIC SCHOOL ,,103,97.1,0,98.1,0
30,BALA AVENUE COMMUNITY SCHOOL ,,108,93.5,0,96.3,0
33,BANTING AND BEST PUBLIC SCHOOL ,,186,91.9,0,93,0
42,BENDALE JUNIOR PUBLIC SCHOOL ,,188,94.7,0,93.1,0
44,BERNER TRAIL JUNIOR PUBLIC SCHOOL ,,129,96.1,0,97.7,0
62,BLESSED POPE PAUL VI CATHOLIC SCHOOL ,,196,92.9,0,94.4,0
71,BOYS' LEADERSHIP ACADEMY ,,47,93.6,0,93.6,0
72,BRAEBURN JUNIOR SCHOOL ,,69,95.7,0,92.8,0
81,BROOKMILL BOULEVARD JUNIOR PUBLIC SCHOOL ,,120,94.2,0,95.8,0
88,C D FARQUHARSON JUNIOR PUBLIC SCHOOL ,,185,93,0,94.1,0
91,CALC SECONDARY SCHOOL ,,201,66.7,0,76.6,0
94,CANADIAN MARTYRS CATHOLIC SCHOOL ,,196,94.4,0,95.9,0
113,CHARLES-SAURIOL ,,147,92.5,0,93.2,0
115,CHARTLAND JUNIOR PUBLIC SCHOOL ,,91,100,0,100,0
130,CLIFFSIDE PUBLIC SCHOOL ,,134,98.5,0,97.8,0
137,CORNELL JUNIOR PUBLIC SCHOOL ,,375,97.3,0,97.9,0
144,CRESTVIEW PUBLIC SCHOOL ,,124,97.6,0,96,0
152,D'ARCY MCGEE CATHOLIC SCHOOL ,,178,97.8,0,97.8,0
155,DAVID LEWIS PUBLIC SCHOOL ,,302,91.4,0,92.7,0
157,DAYSTROM PUBLIC SCHOOL ,,186,94.1,0,95.7,0
181,DRIFTWOOD PUBLIC SCHOOL ,,190,92.6,0,93.7,0
191,EAST YORK ALTERNATIVE SECONDARY SCHOOL ,,114,81.6,0,97.4,0
194,EASTVIEW PUBLIC SCHOOL ,,201,77.1,0,83.1,0
195,EATONVILLE JUNIOR SCHOOL ,,100,97,0,98,0
202,ECOLE ELEMENTAIRE MATHIEU-DA-COSTAI ,,82,85.4,0,91.5,0
203,ECOLE ELEMENTAIRE MICHELINE-SAINT-CYR ,,42,88.1,0,76.2,0
204,ECOLE ELEMENTAIRE PAUL-DEMERS ,,46,63,0,71.7,0
209,EDGEWOOD PUBLIC SCHOOL ,,102,96.1,0,96.1,0
210,ECOLE DU SACRE-COEUR-TORONTO ,,70,97.1,0,97.1,0
217,ECOLE ELEMENTAIRE SAINT-NOEL-CHABANEL-TORONTO ,,83,94,0,95.2,0
220,ESC PERE-PHILIPPE-LAMARCHE ,,112,92,0,94.6,0
230,EPIPHANY OF OUR LORD CATHOLIC ACADEMY ,,115,87,0,89.6,0
234,ESC-PERE-PHILIPPE-LAMARCHE ,,77,90.9,0,96.1,0
243,FAIRBANK MEMORIAL COMMUNITY SCHOOL ,,53,94.3,0,96.2,0
244,FAIRGLEN JUNIOR PUBLIC SCHOOL ,,215,98.1,0,98.6,0
253,FIRGROVE PUBLIC SCHOOL ,,151,89.4,0,91.4,0
256,FLEMING PUBLIC SCHOOL ,,174,95.4,0,98.3,0
257,FLEMINGTON PUBLIC SCHOOL ,,101,91.1,0,89.1,0
270,GEORGE ANDERSON PUBLIC SCHOOL ,,66,98.5,0,97,0
271,GEORGE B LITTLE PUBLIC SCHOOL ,,260,90,0,93.5,0
275,GEORGE R GAULD JUNIOR SCHOOL ,,52,92.3,0,96.2,0
281,GLAMORGAN JUNIOR PUBLIC SCHOOL ,,257,91.4,0,96.5,0
287,GOLF ROAD JUNIOR PUBLIC SCHOOL ,,151,94,0,96.7,0
289,GOSFORD PUBLIC SCHOOL ,,111,90.1,0,94.6,0
291,GRACEFIELD PUBLIC SCHOOL ,,102,92.2,0,94.1,0
292,GREENHOLME JUNIOR MIDDLE SCHOOL ,,213,89.2,0,91.1,0
294,GREENWOOD SECONDARY SCHOOL ,,147,62.6,0,61.2,0
306,HEATHER HEIGHTS JUNIOR PUBLIC SCHOOL ,,89,98.9,0,97.8,0
317,HIGHVIEW PUBLIC SCHOOL ,,70,94.3,0,97.1,0
319,HILLMOUNT PUBLIC SCHOOL ,,89,96.6,0,97.8,0
325,HOLY CHILD CATHOLIC SCHOOL ,,206,92.2,0,92.2,0
330,HOLY SPIRIT CATHOLIC SCHOOL ,,264,91.7,0,90.5,0
341,IMMACULATE CONCEPTION CATHOLIC SCHOOL ,,298,96,0,96.3,0
342,IMMACULATE HEART OF MARY CATHOLIC SCHOOL ,,105,96.2,0,95.2,0
346,IONVIEW PUBLIC SCHOOL ,,219,87.2,0,91.3,0
347,IROQUOIS JUNIOR PUBLIC SCHOOL ,,217,97.2,0,99.1,0
351,J G WORKMAN PUBLIC SCHOOL ,,126,98.4,0,98.4,0
361,JOHN A LESLIE PUBLIC SCHOOL ,,335,93.1,0,95.8,0
362,JOHN BUCHAN SENIOR PUBLIC SCHOOL ,,185,93,0,91.4,0
375,JOYCE PUBLIC SCHOOL ,,121,93.4,0,95,0
378,KEELESDALE JUNIOR PUBLIC SCHOOL ,,62,93.5,0,96.8,0
379,KENNEDY PUBLIC SCHOOL ,,352,97.2,0,97.2,0
382,KIMBERLEY JUNIOR PUBLIC SCHOOL ,,141,98.6,0,99.3,0
388,KNOB HILL PUBLIC SCHOOL ,,314,84.4,0,86.3,0
390,LAMBERTON PUBLIC SCHOOL ,,137,79.6,0,86.1,0
392,LAMBTON PARK COMMUNITY SCHOOL ,,56,82.1,0,85.7,0
403,LILLIAN PUBLIC SCHOOL ,,99,98,0,97,0
409,LUCY MAUD MONTGOMERY PUBLIC SCHOOL ,,124,98.4,0,99.2,0
432,MELODY VILLAGE JUNIOR SCHOOL ,,88,97.7,0,96.6,0
440,MONSIGNOR FRASER COLLEGE (MIDLAND NORTH) ,,99,83.8,0,98,0
441,MONSIGNOR FRASER COLLEGE (MIDTOWN) ,,73,89,0,98.6,0
442,MONSIGNOR FRASER COLLEGE (NORTHEAST) ,,34,85.3,0,97.1,0
443,MONSIGNOR FRASER COLLEGE (SOUTHWEST) ,,44,75,0,93.2,0
444,MONSIGNOR FRASER COLLEGE (ST. MARTIN) ,,15,26.7,0,93.3,0
452,MSGR FRASER COLLEGE (NORFINCH CAMPUS) ,,114,71.9,0,87.7,0
453,MSGR FRASER-ISABELLA ,,56,57.1,0,89.3,0
454,MSGR FRASER-MIDLAND ,,72,72.2,0,87.5,0
467,NORTH ALBION COLLEGIATE INSTITUTE ,,790,88.4,0.1,97.1,0
473,NORTH WEST YEAR ROUND ALTERNATIVE CENTRE ,,29,82.8,0,96.6,0
483,O'CONNOR PUBLIC SCHOOL ,,55,92.7,0,94.5,0
491,OUR LADY OF LOURDES CATHOLIC SCHOOL ,,334,93.4,0,93.4,0
505,PARKSIDE ELEMENTARY SCHOOL ,,69,94.2,0,95.7,0
507,PAULINE JOHNSON JUNIOR PUBLIC SCHOOL ,,119,90.8,0,95,0
510,PERCY WILLIAMS JUNIOR PUBLIC SCHOOL ,,158,86.7,0,92.4,0
513,PINEWAY PUBLIC SCHOOL ,,51,96.1,0,96.1,0
530,RANCHDALE PUBLIC SCHOOL ,,89,97.8,0,97.8,0
540,ROBERT SERVICE SENIOR PUBLIC SCHOOL ,,169,94.7,0,98.8,0
545,ROSE AVENUE JUNIOR PUBLIC SCHOOL ,,303,87.8,0,88.4,0
547,ROSEDALE JUNIOR PUBLIC SCHOOL ,,119,98.3,0,99.2,0
550,ROUGE VALLEY PUBLIC SCHOOL ,,146,97.3,0,98.6,0
557,SANTA MARIA CATHOLIC SCHOOL ,,137,93.4,0,94.2,0
559,SCARBOROUGH VILLAGE PUBLIC SCHOOL ,,121,90.1,0,93.4,0
567,SENECA HILL PUBLIC SCHOOL ,,150,99.3,0,98.7,0
570,SHAUGHNESSY PUBLIC SCHOOL ,,126,98.4,0,98.4,0
573,SHOREHAM PUBLIC SCHOOL ,,104,92.3,0,92.3,0
574,SILVER SPRINGS PUBLIC SCHOOL ,,221,95,0,94.1,0
585,SLOANE PUBLIC SCHOOL ,,96,94.8,0,96.9,0
587,SOUTH EAST YEAR ROUND ALTERNATIVE CENTRE ,,64,89.1,0,100,0
596,ST ANDRE CATHOLIC SCHOOL ,,365,91,0,89.6,0
599,ST ANDREWS PUBLIC SCHOOL ,,191,93.7,0,94.2,0
608,ST BEDE CATHOLIC SCHOOL ,,93,96.8,0,97.8,0
612,ST BONIFACE CATHOLIC SCHOOL ,,209,92.3,0,91.9,0
631,ST EDMUND CAMPION CATHOLIC SCHOOL ,,156,98.7,0,96.8,0
638,ST FRANCIS DE SALES CATHOLIC SCHOOL ,,280,90.4,0,89.6,0
649,ST ISAAC JOGUES CATHOLIC SCHOOL ,,201,92.5,0,92.5,0
654,ST JOACHIM CATHOLIC SCHOOL ,,173,97.1,0,98.3,0
655,ST JOHN BOSCO CATHOLIC SCHOOL ,,199,97.5,0,96.5,0
657,ST JOHN THE EVANGELIST CATHOLIC SCHOOL ,,259,92.7,0,93.1,0
663,ST JUDE CATHOLIC SCHOOL ,,475,92,0,94.1,0
668,ST LUIGI CATHOLIC SCHOOL ,,79,93.7,0,92.4,0
673,ST MARGUERITE BOURGEOYS CATHOLIC CATHOLIC SCHOOL ,,58,96.6,0,98.3,0
677,ST MARTIN DE PORRES CATHOLIC SCHOOL ,,257,89.1,0,91.4,0
679,ST MARY OF THE ANGELS CATHOLIC SCHOOL ,,150,97.3,0,96,0
683,ST MAURICE CATHOLIC SCHOOL ,,170,94.1,0,95.3,0
693,ST PAUL CATHOLIC SCHOOL ,,104,89.4,0,90.4,0
696,ST RENE GOUPIL CATHOLIC SCHOOL ,,118,50.8,0,51.7,0
698,ST RITA CATHOLIC SCHOOL ,,51,96.1,0,100,0
700,ST ROCH CATHOLIC SCHOOL ,,229,95.6,0,97.4,0
701,ST ROSE OF LIMA CATHOLIC SCHOOL ,,274,93.4,0,92.3,0
707,ST THERESA SHRINE CATHOLIC SCHOOL ,,123,96.7,0,95.9,0
708,ST THOMAS AQUINAS CATHOLIC SCHOOL ,,331,92.1,0,94.3,0
709,ST THOMAS MORE CATHOLIC SCHOOL ,,208,92.8,0,94.7,0
733,TAYLOR CREEK PUBLIC SCHOOL,,235,92.3,0,93.2,0
736,TERRY FOX PUBLIC SCHOOL ,,243,93,0,95.5,0
744,THOMAS L WELLS PUBLIC SCHOOL ,,349,95.4,0,97.1,0
747,TIMBERBANK JUNIOR PUBLIC SCHOOL ,,118,95.8,0,95.8,0
749,TOPCLIFF PUBLIC SCHOOL ,,160,95,0,96.9,0
759,VICTORIA PARK ELEMENTARY SCHOOL ,,72,98.6,0,100,0
761,VRADENBURG JUNIOR PUBLIC SCHOOL ,,121,96.7,0,98.3,0
787,WILLIAM G DAVIS JUNIOR PUBLIC SCHOOL ,,125,98.4,0,98.4,0
792,WILLOW PARK JUNIOR PUBLIC SCHOOL ,,186,88.2,0,90.9,0
794,WILMINGTON ELEMENTARY SCHOOL ,,51,86.3,0,84.3,0
801,WOBURN JUNIOR PUBLIC SCHOOL ,,185,90.3,0,89.2,0
